sample,gene,ct,well,method,tissue,cell
m5,inx1,29.2712,E3,maxwell,neuron,a
m5,inx2,30.9643,E1,maxwell,neuron,a
m5,inx2,30.7108,E2,maxwell,neuron,a
m5,inx2,29.5048,E3,maxwell,neuron,a
m5,shal,32.2159,E1,maxwell,neuron,a
m5,shal,33.67,E2,maxwell,neuron,a
m5,shal,-1,E3,maxwell,neuron,a
m6,CbNaV,30.6905,F1,maxwell,neuron,a
m6,CbNaV,29.7351,F2,maxwell,neuron,a
m6,CbNaV,28.7472,F3,maxwell,neuron,a
m6,IH,-1,F1,maxwell,neuron,a
m6,IH,35.1223,F2,maxwell,neuron,a
m6,IH,35.0283,F3,maxwell,neuron,a
m6,inx1,29.109,F1,maxwell,neuron,a
m6,inx1,27.9479,F2,maxwell,neuron,a
m6,inx1,27.8804,F3,maxwell,neuron,a
m6,inx2,29.2998,F1,maxwell,neuron,a
m6,inx2,29.0434,F2,maxwell,neuron,a
m6,inx2,26.958,F3,maxwell,neuron,a
m6,shal,32.779,F1,maxwell,neuron,a
m6,shal,33.094,F2,maxwell,neuron,a
m6,shal,32.9184,F3,maxwell,neuron,a
m7,CbNaV,30.8343,G1,maxwell,neuron,a
m7,CbNaV,31.0855,G2,maxwell,neuron,a
m7,CbNaV,30.4242,G3,maxwell,neuron,a
m7,IH,NA,G1,maxwell,neuron,a
m7,IH,NA,G2,maxwell,neuron,a
m7,IH,NA,G3,maxwell,neuron,a
m7,inx1,31.0392,G1,maxwell,neuron,a
m7,inx1,31.0296,G2,maxwell,neuron,a
m7,inx1,30.0573,G3,maxwell,neuron,a
m7,inx2,31.6719,G1,maxwell,neuron,a
m7,inx2,31.2834,G2,maxwell,neuron,a
m7,inx2,29.9736,G3,maxwell,neuron,a
m7,shal,32.7002,G1,maxwell,neuron,a
m7,shal,32.455,G2,maxwell,neuron,a
m7,shal,32.6266,G3,maxwell,neuron,a
m8,CbNaV,30.2373,H1,maxwell,neuron,a
m8,CbNaV,29.4606,H2,maxwell,neuron,a
m8,CbNaV,-1,H3,maxwell,neuron,a
m8,IH,32.9585,H1,maxwell,neuron,a
m8,IH,31.3079,H2,maxwell,neuron,a
m8,IH,NA,H3,maxwell,neuron,a
m8,inx1,29.4331,H1,maxwell,neuron,a
m8,inx1,28.3883,H2,maxwell,neuron,a
m8,inx1,28.1246,H3,maxwell,neuron,a
m8,inx2,NA,H1,maxwell,neuron,a
m8,inx2,29.6929,H2,maxwell,neuron,a
m8,inx2,30.4349,H3,maxwell,neuron,a
m8,shal,32.4364,H1,maxwell,neuron,a
m8,shal,32.2152,H2,maxwell,neuron,a
m8,shal,33.874,H3,maxwell,neuron,a
m9,CbNaV,28.894,A4,maxwell,neuron,a
m9,CbNaV,28.7178,A5,maxwell,neuron,a
m9,CbNaV,29.4455,A6,maxwell,neuron,a
m9,IH,33.3859,A4,maxwell,neuron,a
m9,IH,31.8173,A5,maxwell,neuron,a
m9,IH,31.9657,A6,maxwell,neuron,a
m9,inx1,28.366,A4,maxwell,neuron,a
m9,inx1,28.3754,A5,maxwell,neuron,a
m9,inx1,27.9355,A6,maxwell,neuron,a
m9,inx2,30.1078,A4,maxwell,neuron,a
m9,inx2,29.5497,A5,maxwell,neuron,a
m9,inx2,28.1314,A6,maxwell,neuron,a
m9,shal,31.1646,A4,maxwell,neuron,a
m9,shal,31.7973,A5,maxwell,neuron,a
m9,shal,31.9,A6,maxwell,neuron,a
z3,CbNaV,31.3004,C7,zymo,neuron,IC
z3,CbNaV,30.8133,C8,zymo,neuron,IC
z3,CbNaV,30.3551,C9,zymo,neuron,IC
